id,name,name_2,Coordenada_x,Coordenada_y
1,Avenida San Borja Sur,JirÃ³n Franz Liszt,-76.9930599,-12.1007318
2,Avenida San Borja Sur,JirÃ³n Franz Schubert,-76.9920735,-12.1013361
3,Avenida San Borja Sur,Avenida San Borja Sur,-76.9920735,-12.1013361
4,Avenida San Borja Norte,Avenida Buena Vista,-76.9810475,-12.0965535
5,Avenida San Borja Norte,Pasaje 21,-76.9823498,-12.0967387
6,Intercambio Vial El Derby,Intercambio Vial El Derby,-76.9802707,-12.0976878
7,Avenida Buena Vista,Avenida San Borja Norte,-76.9810475,-12.0965535
8,Avenida Buena Vista,Calle 20,-76.9809186,-12.0973416
9,Avenida Buena Vista,Hurtado,-76.9808162,-12.0980419
10,Avenida Buena Vista,Yeves,-76.9806065,-12.0995541
11,Avenida Buena Vista,Sena,-76.9804802,-12.1005032
12,Avenida Buena Vista,Intercambio Vial El Derby,-76.9810558053798,-12.0964963946488
13,Avenida Buena Vista,Avenida Juan Bielovucic Cavalier,-76.9802441,-12.1033651
14,Avenida Buena Vista,Avenida Buena Vista,-76.9802345,-12.1034335
15,Avenida Buena Vista,Avenida Primavera,-76.9799998,-12.1102542
16,Avenida Buena Vista,Duarez,-76.979851,-12.1088881
17,Bielovucic Cavalier,Avenida Buena Vista,-76.9801909,-12.1030455
18,Bielovucic Cavalier,Avenida Juan Bielovucic Cavalier,-76.9801909,-12.1030455
19,Avenida Juan Bielovucic Cavalier,Avenida Juan Bielovucic Cavalier,-76.9849349,-12.1037367
20,Avenida Juan Bielovucic Cavalier,Avenida Velasco Astete,-76.9849349,-12.1037367
21,Avenida Juan Bielovucic Cavalier,Avenida Buena Vista,-76.9802441,-12.1033651
22,Avenida Juan Bielovucic Cavalier,Alameda Los Picaflores,-76.9830843,-12.1035712
23,Avenida Juan Bielovucic Cavalier,Buena fe,-76.9816894,-12.1034626
24,Avenida Esmeralda,JirÃ³n Los Recuerdos,-76.9806057,-12.107799
25,Avenida Esmeralda,JirÃ³n Las Garzas,-76.9825824,-12.1078017
26,Avenida Esmeralda,Avenida Esmeralda,-76.9825824,-12.1078017
27,Avenida Esmeralda,Calle Matamoros,-76.9857642,-12.1078366
28,Avenida Esmeralda,Avenida Velasco Astete,-76.9848098,-12.1077689
29,Avenida de la Floresta,Avenida de la Floresta,-76.9889312,-12.1046823
30,Avenida de la Floresta,Avenida Esmeralda,-76.9885654,-12.1076511
31,Avenida de la Floresta,Calle La Florencia,-76.9888101,-12.1063761
32,Avenida de la Floresta,JirÃ³n Paseo del Bosque,-76.9894348,-12.1033654
33,Avenida Primavera,Avenida Primavera,-76.9844503,-12.1104602
34,Avenida Primavera,Avenida Velasco Astete,-76.9844503,-12.1104602
35,Avenida San Luis,Bosque,-76.9928656,-12.1091027
36,Avenida San Luis,San Borja,-76.9926306,-12.1085456
37,Avenida San Luis,Calle Melissa,-76.9924038,-12.1080078
38,Avenida San Luis,Avenida San Luis,-76.9924038,-12.1080078
39,Avenida San Luis,Avenida JoaquÃ­n de la Madrid,-76.9924038,-12.1080078
40,Avenida Lima Polo,Avenida La Encalada,-76.9692345,-12.0990933
41,Avenida Lima Polo,Avenida El Derby,-76.9692345,-12.0990933
42,Avenida Lima Polo,Avenida Lima Polo,-76.9691036,-12.0990913
43,Avenida Lima Polo,Calle La Girlada,-76.9682246,-12.0990917
44,Avenida El Derby,Avenida Manuel Olguin,-76.9732791,-12.0979439
45,Avenida El Derby,Avenida El Derby,-76.9732791,-12.0979439
46,Avenida El Polo,JirÃ³n Buen Retiro,-76.9689547,-12.0959419
47,Avenida El Polo,JirÃ³n El Cortijo,-76.9697788,-12.0971015
48,Avenida El Polo,Avenida La Encalada,-76.9697788,-12.0971015
49,Avenida El Polo,Avenida El Polo,-76.9689547,-12.0959419
50,Avenida La Encalada,Paramonga,-76.9730998,-12.110729
51,Avenida La Encalada,JirÃ³n Alonso de Molina,-76.9740217,-12.1129485
52,Avenida La Encalada,Pucala,-76.9738774,-12.1126526
53,Avenida La Encalada,Avenida La Encalada,-76.9727595,-12.1098824
54,Avenida La Encalada,Avenida Primavera,-76.9727595,-12.1098824
55,Avenida La Encalada,Chavin,-76.9733136,-12.1112574
56,Avenida Primavera,Calle El Recuerdo,-76.9646577,-12.1046121
57,Avenida Primavera,Avenida NicolÃ s Rodrigo,-76.9626337,-12.102967
58,Avenida Primavera,Ovalo Los Delfines,-76.9652528,-12.1050242
59,Avenida Primavera,Santa Elena Norte,-76.9692416,-12.1078046
60,Avenida Primavera,Calle La Arboleda,-76.9667929,-12.1060974
61,Avenida Primavera,Santa Elena Sur,-76.9680573,-12.1070008
62,Los Alamos,JirÃ³n AldebarÃ¡n,-76.9657442,-12.1048176
63,Los Alamos,Ovalo Los Delfines,-76.9655459,-12.1050388
64,JirÃ³n AldebarÃ¡n,Los Alamos,-76.9657442,-12.1048176
65,JirÃ³n AldebarÃ¡n,Ovalo Los Delfines,-76.9654639,-12.1048695
66,JirÃ³n AldebarÃ¡n,JirÃ³n AldebarÃ¡n,-76.9657442,-12.1048176
67,Los Alamos,Avenida La Encalada,-76.9703846,-12.1038469
68,Avenida Manuel Olguin,Avenida Manuel Olguin,-76.9729869,-12.1004901
69,Avenida Manuel Olguin,JirÃ³n La Conquista,-76.9731448,-12.0994811
70,Avenida Manuel Olguin,Avenida El Derby,-76.9733757,-12.0980613
71,Conde de La Vega,Pasaje Monte Hermoso,-76.9814507,-12.1131562
72,Conde de La Vega,JirÃ³n Monte Flor,-76.9821983,-12.1144616
73,Conde de La Vega,Monte Umbroso,-76.9833021,-12.1169214
74,Conde de La Vega,Calle Monte Real,-76.9808011,-12.1120135
75,Conde de La Vega,JirÃ³n Monte Real,-76.9808011,-12.1120135
76,Calle Monte Mayor,Avenida De la Floresta,-76.9873039,-12.1144134
77,Calle Monte Mayor,JirÃ³n Monte Carmelo,-76.9853228,-12.1142827
78,Monte Umbroso,Monte Umbroso,-76.9799968,-12.1126526
79,Monte Umbroso,Avenida Monte Umbroso,-76.9799968,-12.1126526
80,Monte Flor,Monte Flor,-76.9832828,-12.1128155
81,Monte Flor,JirÃ³n Monte Real,-76.9833822,-12.1117077
82,JirÃ³n Monte Blanco,Avenida Velasco Astete,-76.9844128,-12.1133775
